Term	Poem	Part of Speech	Definition	Number of Occurrences	Tags
Snowdrops	"Love Songs"	noun	(Galanthus nivalis) So called from their time of flowering. -Fair maids of France (Bot.) (MW)		scientific; botany
Bellona	"Der Blinde Junge"	noun	(Roman myth) The goddess of war (MW)		mythology
Irridescent	"Crab-Angel"	adjective	[see: iridescent]		light; scientific
Planet	"Der Blinde Junge"	noun	1) (Astron.) A celestial body which revolves about the sun in an orbit of a moderate degree of eccentricity. It is distinguished from a comet by the absence of a coma, and by having a less eccentric orbit. 2) A star, as influencing the fate of men. 		astronomy; circular; light
Eclipse	"Ignoramus"	noun	1) (Astronomy) An interception or obscuration of the light of the sun, moon, or other luminous body, by the intervention of some other body, either between it and the eye, or between the luminous body and that illuminated by it.  A lunar eclipse is caused by the moon passing through the earth's shadow; a solar eclipse, by the moon coming between the sun and the observer.  A satellite is eclipsed by entering the shadow of its primary.  The obscuration of a planet or star by the moon or a planet, though of the nature of an eclipse, is called an occultation.  The eclipse of a small portion of the sun by Mercury or Venus is called a transit of the planet; 2) The loss, usually temporary or partial, of light, brilliancy, luster, honor, consciousness, etc.; obscuration; gloom; darkness (MW)		light; astronomy
Phoenix	"Joyce's Ulysses"	noun	1) (Bot.) A genus of palms including date trees; spelled PHENIX // 1) (Gr. Myth.) A bird fabled to exist single, to be consumed by fire by its own act, and to rise again from its ashes.  Hence, an emblem of immortality; 2) (Astron.) A southern constellation; 3) A marvelous person or thing		mythology; light; death; life; mythology; heat; botany
Petal	"English Rose"	noun	1) (Bot.) one of the leaves of the corolla, or the colored leaves of a flower 2) One of the expanded ambulacra which form a rosette on the back of certain Echini		botany; scientific
Peri	"Lunar Baedeker"	noun	1) (n) A prefix used to signify around; 2) An imaginary being, male or female, like an elf or fairy, represented as a descendent of fallen angels and excluded from paradise until penance is accomplished (MW)		mythology; astronomy; gender
God	"Parturition"	noun	1) A being conceived of as possessing supernatural power, and to be propitiated by sacrifice, worship, etc.; a divinity; a deity; an object of worship; an idol; 2) The Supreme Being; the eternal and infinite Spirit, the Creator, and the Sovereign of the universe; Jehovah; 3) A person or thing deified and honored as the chief good; an object of supreme regard; 4) Figuratively applied to one who wields great or despotic power (MW)		spiritual
Whirligig	"Crab-Angel"	noun	1) A child's toy, spun or whirled around like a wheel upon an axis, or like a top; 2) Anything which whirls around, or in which persons or things are whirled about, as a frame with seats or wooden horses (MW)		
Wheel	"Italian Pictures: Costa Magic"	noun	1) A circular frame turning about an axis; rotating disk, whether solid, or a frame composed of an outer rim, spokes or radil, and a central hub or nave, in which is interested the axle, --used for supporting and conveying vehicles, in machinery, and for various purposes; as, the wheel of a wagor, of a locomotive, of a mill, of a watch, etc.; 2) Any instrument having the form of a wheel, specifically: -- (a) A spinning wheel (b) A instrument of torture formerly used (etc.) (MW)		circular
Sky	"Lunar Baedeker"; "'The Starry Sky' of Wyndham Lewis"; "Love Songs"; "Italian Pictures: The Costa San Giorgio"	noun	1) A cloud; 2) Hence, a shadow; 3) The apparent arch, or vault, of heaven, which in a clear day is a blue color; the heavens; the firmament; 4) The weather; the climate (MW)		astronomy
Constellation	"Love Songs"	noun	1) A cluster or group of fixed stars, or division of the heavens, designated in most cases by the name of some animal, or of some mythological personage, within whose imaginary outline, as traced upon the heavens, the group is included; 2) An assemblage of splendors or excellences; 3) Fortune; fate; destiny (MW)		astronomy
Cloud	"Crab-Angel"	noun	1) A collection of visible vapor, or watery particles, suspended in the upper atmosphere; 2) A mass or volume of smoke, or flying dust, resembling vapor; 3) A dark vein or spot on a lighter material, as in marble; hence, a blemish or defect; 4) That which has a dark, lowering, or threatening aspect; that which temporarily overshadows, obscures, or depresses; 5) A great crowd or multitude; a vast collection; 6) A large, loosely-knitted scarf, worn by women about the head (MW)		light; astronomy
