Term	Poem	Context	Part of Speech	Official Definition	Tags	Etymology	1907 Definition	OED Definition	Loy's Usage
Adamsite	"English Rose"								
Airy	"'The Starry Sky' of Wyndham Lewis"; "Sketch of a Man on a Platform"			1) Consisting of air; 2) Relating or belonging to air; high in air; aërial; 3) Open to a free current of air; breezy; 4) Resembling air; thin; unsubstantial; not material; 5) Relating to the spirit or soul; delicate; graceful; 6) Without reality; having no solid foundation; empty; trifling; visionary; 7) Light of heart; vivacious; sprightly; flippant; superficial; 8) Having an affected manner; affectedly grand; 9) (Painting) Having the light and aërial tints true to nature (MW)	celestial				
Alarum	"English Rose"								
Albion	"English Rose"								
Aloft	"Love Songs"		preposition	Above; on top of (obsolete) (MW)					
Ambiente	"Café du Néant"		adjective	Encompassing on all sides; circumfused; investing (MW)	circular				
Amorphus	"English Rose"								
Atomic	"Crab-Angel"				scientific				
Bellona	"Der Blinde Junge"								
Bi-Circular	"Crab-Angel"				circular				
Black	"Der Blinde Junge"; "Ignoramus"; "Café du Néant"		adjective	ADJ: 1) Destitute of light, or incapable of reflecting it; of the color of soot or coal; of the darkest or a very dark color, the opposite of white; 2) In a less literal sense: Enveloped or shrouded in darkness; very dark or gloomy; 3) (Figurative) Dismal, gloomy, or forbidding, like darkness; destitute of moral light or goodness; 4) Expressing menace, or discontent; threatening; sullen; foreboding; N: 1) That which is destitute of light or whiteness; the darkest color, or rather a destitution of all color (MW)	light				
Blind	"Der Blinde Junge"; "Love Songs"		adjective	1) Destitute of the sense of seeing, either by natural defect or by deprivation; without sight; 2) Not having the faculty or discernment; destitute of intellectual light; unable or unwilling to understand or judge; 3) Undiscerning; 4) Involved; intricate; not easily followed or traced; 5) Having no openings for light or passage; 6) Unintelligible; 7) (Horticulture) Abortive; failing to produce flowers or fruit (MW)	light				
Blinde	"Der Blinde Junge"		adjective	German term for "blind" (Google Translate)	German				
Blossom	"English Rose"		noun	1) The flower of a plant, or the essential organs of reproduction, with their apendages; florescence; bloom; the flowers of a plant, collectively; 2) A stage of development; something lovely that gives rich promise; 3) The color of a horse that has white hairs intermixed with sorrel and bay hairs (MW)	flower				
Blue	"Italian Pictures: July in Vallombrosa"		adjective; noun	ADJ: 1) Having the color of the clear sky, or a hue resembling it, whether lighter or darker; 2) Pale, without redness or glare—said of a flame; 3) Low in spirits; melancholy; 4) Suited to produce low spirits; gloomy in prospect; 5) Severe or over strict in morals; 6) (Literary—applied to women) an abbreviation of bluestocking (Colloquial); N: 1) One of the seven colors into which the rays of light divide themselves, when refracted through a glass prism; the color of the clear sky; a pigment having such a color; 2) A pedantic oman; a bluestocking; 3) Low spirits; a fit of despondency; melancholy (MW)					
Bolshevik	"English Rose"				historical				
Breast	"English Rose"		noun	1) The fore part of the body, between the neck and the belly (MW)					
Bright	"Ignoramus"		adjective	1) Radiating or reflecting light; shedding or having much light; shining; luminous; not dark; 2) Transmiting light; clear; transparent; 3) Having qualities that render conspicuous or attractive, or that affect the mind as light does the eye; resplendent with charms; 4) Having a clear, quick intellect; intelligent; 5) Sparkling with wit; lively; vivacious; shedding cheerfulness and joy around; cheerful; 6) Illustrious; glorious; 7) Manifest to the mind, as light is to the eye; clear; evident; plain; 8) Of brilliant color; of lively hue or appearance (MW)	light				
Bury	"O Hell"		verb	1) To cover out of sight, ether by heaping something over, or by placing within something, as earth, etc; to conceal by covering, to hide; 2) Specifically: To cover out of sight, as the body of a deceased person, in a grave, a tomb, or the ocean; to deposit (a corpse) in its resting place, with funeral ceremonies; to inter; to inhume; 3) To hide in oblivion; to put away finally; to abandon (MW)	spiritual; light				
Café du Néant	"Café du Néant"								
Carnose	"Der Blinde Junge"		adjective	1) Of or pertaining to flexh; fleshy; 2) (Botany) Of a fleshy consistence;—applied to succulent leaves, stems, etc. (MW)					
Celestial	"'The Starry Sky' of Wyndham Lewis"		adjective	1) Belonging to the aërial regions, or visible heavens; 2) Of or pertaining to the spiritual heaven; heavnely; divine (MW)	celestial				
Centre	"Parturition"		noun	1) A point equally distnt from the extremities of a line, figure, or body, or from all parts of the circumference of a circle; the middle point or place; 2) The middle or central portion of anything; 3) A principal or important point of concentration; the nucleus around which they tend; an object of attention, action, or force (MW)	circular				
