Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
rose	1	18	0.0038902096	NaN	NaN	0.0038902096
eyes	1	14	0.0030257185	NaN	NaN	0.0030257185
life	1	11	0.0023773503	NaN	NaN	0.0023773503
like	1	11	0.0023773503	NaN	NaN	0.0023773503
light	1	8	0.0017289821	NaN	NaN	0.0017289821
sun	1	8	0.0017289821	NaN	NaN	0.0017289821
flesh	1	7	0.0015128592	NaN	NaN	0.0015128592
glass	1	7	0.0015128592	NaN	NaN	0.0015128592
english	1	6	0.0012967365	NaN	NaN	0.0012967365
exodus	1	6	0.0012967365	NaN	NaN	0.0012967365
green	1	6	0.0012967365	NaN	NaN	0.0012967365
little	1	6	0.0012967365	NaN	NaN	0.0012967365
man	1	6	0.0012967365	NaN	NaN	0.0012967365
nature	1	6	0.0012967365	NaN	NaN	0.0012967365
night	1	6	0.0012967365	NaN	NaN	0.0012967365
pink	1	6	0.0012967365	NaN	NaN	0.0012967365
sky	1	6	0.0012967365	NaN	NaN	0.0012967365
woman	1	6	0.0012967365	NaN	NaN	0.0012967365
dust	1	5	0.0010806138	NaN	NaN	0.0010806138
flight	1	5	0.0010806138	NaN	NaN	0.0010806138
god	1	5	0.0010806138	NaN	NaN	0.0010806138
human	1	5	0.0010806138	NaN	NaN	0.0010806138
know	1	5	0.0010806138	NaN	NaN	0.0010806138
love	1	5	0.0010806138	NaN	NaN	0.0010806138
mouth	1	5	0.0010806138	NaN	NaN	0.0010806138
soul	1	5	0.0010806138	NaN	NaN	0.0010806138
street	1	5	0.0010806138	NaN	NaN	0.0010806138
virgin	1	5	0.0010806138	NaN	NaN	0.0010806138
white	1	5	0.0010806138	NaN	NaN	0.0010806138
wild	1	5	0.0010806138	NaN	NaN	0.0010806138
angel	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
black	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
body	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
broken	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
cesira	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
come	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
crab	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
death	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
form	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
hair	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
half	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
having	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
left	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
legs	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
make	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
men	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
moment	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
moon	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
pain	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
rain	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
rises	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
sing	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
stars	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
time	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
world	1	4	8.6449104E-4	NaN	NaN	8.6449104E-4
arms	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
away	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
beast	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
becomes	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
beyond	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
bird	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
blind	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
blows	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
blue	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
bodies	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
business	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
cat	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
chastity	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
circus	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
conception	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
daily	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
daughter	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
day	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
destiny	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
door	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
du	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
earth	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
essence	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
given	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
heart	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
hour	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
houses	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
italian	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
lady	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
leaning	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
let	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
morning	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
mumbling	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
outside	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
passing	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
passionate	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
people	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
round	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
self	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
shall	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
silence	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
spirit	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
sub	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
subconscious	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
subliminal	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
superior	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
things	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
till	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
universe	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
way	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
window	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
wings	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
yellow	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
young	1	3	6.4836827E-4	NaN	NaN	6.4836827E-4
absolute	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
adequate	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
agony	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
airy	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
angels	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
anglo	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
animal	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
ant	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
anticipation	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
apology	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
battle	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
become	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
bed	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
beds	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
behind	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
birth	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
born	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
breast	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
breath	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
breed	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
british	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
caf	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
carpet	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
ceiling	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
chaos	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
church	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
clean	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
cock	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
comes	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
consciousness	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
control	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
core	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
cosmic	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
costa	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
count	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
covered	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
crown	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
cupid	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
curls	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
curve	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
dark	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
days	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
dead	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
direction	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
dolls	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
dreams	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
dresses	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
dwarf	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
ecstasy	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
ego	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
emotions	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
empire	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
empyrean	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
end	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
exotic	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
experience	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
eye	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
face	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
fall	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
false	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
father	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
feet	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
female	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
flicker	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
force	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
friend	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
genius	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
girl	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
girls	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
giving	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
gods	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
greyness	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
halo	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
hands	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
hang	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
head	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
heads	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
hear	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
heavy	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
hedges	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
holding	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
horse	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
hung	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
identical	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
imperial	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
impression	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
infinite	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
inofficial	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
instruction	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
jehovah	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
jerks	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
knee	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
knowing	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
leaves	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
